34.Hiroshima.ken, Life tables (period 1x1), Females     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.07306  0.06930  0.26  100000    6930   94855  5399172  53.99
  1947           1     0.03140  0.03091  0.50   93070    2877   91631  5304317  56.99
  1947           2     0.01674  0.01660  0.50   90193    1497   89444  5212685  57.79
  1947           3     0.00927  0.00923  0.50   88696     818   88287  5123241  57.76
  1947           4     0.00636  0.00634  0.50   87877     557   87599  5034954  57.30
  1947           5     0.00432  0.00431  0.50   87321     377   87132  4947355  56.66
  1947           6     0.00311  0.00311  0.50   86944     270   86809  4860223  55.90
  1947           7     0.00299  0.00298  0.50   86674     259   86545  4773414  55.07
  1947           8     0.00247  0.00247  0.50   86415     213   86309  4686869  54.24
  1947           9     0.00184  0.00184  0.50   86202     158   86123  4600560  53.37
  1947          10     0.00172  0.00172  0.50   86044     148   85970  4514437  52.47
  1947          11     0.00183  0.00183  0.50   85896     157   85818  4428467  51.56
  1947          12     0.00189  0.00189  0.50   85739     162   85658  4342650  50.65
  1947          13     0.00223  0.00223  0.50   85577     191   85482  4256992  49.74
  1947          14     0.00281  0.00280  0.50   85386     239   85266  4171510  48.85
  1947          15     0.00345  0.00345  0.50   85147     294   85000  4086244  47.99
  1947          16     0.00418  0.00417  0.50   84853     354   84676  4001244  47.15
  1947          17     0.00508  0.00506  0.50   84499     428   84285  3916568  46.35
  1947          18     0.00639  0.00637  0.50   84071     535   83804  3832282  45.58
  1947          19     0.00797  0.00794  0.50   83536     663   83205  3748479  44.87
  1947          20     0.00853  0.00850  0.50   82873     704   82521  3665274  44.23
  1947          21     0.00879  0.00875  0.50   82169     719   81809  3582753  43.60
  1947          22     0.00967  0.00962  0.50   81450     784   81058  3500943  42.98
  1947          23     0.01046  0.01041  0.50   80666     839   80247  3419885  42.40
  1947          24     0.01039  0.01033  0.50   79827     825   79414  3339639  41.84
  1947          25     0.00983  0.00978  0.50   79002     773   78616  3260224  41.27
  1947          26     0.00924  0.00920  0.50   78230     720   77870  3181609  40.67
  1947          27     0.00893  0.00889  0.50   77510     689   77166  3103739  40.04
  1947          28     0.00877  0.00874  0.50   76821     671   76486  3026573  39.40
  1947          29     0.00867  0.00863  0.50   76150     657   75821  2950088  38.74
  1947          30     0.00870  0.00866  0.50   75493     654   75166  2874266  38.07
  1947          31     0.00846  0.00842  0.50   74839     630   74524  2799100  37.40
  1947          32     0.00765  0.00762  0.50   74208     566   73925  2724577  36.72
  1947          33     0.00713  0.00711  0.50   73643     523   73381  2650651  35.99
  1947          34     0.00760  0.00757  0.50   73119     554   72842  2577270  35.25
  1947          35     0.00808  0.00805  0.50   72565     584   72274  2504428  34.51
  1947          36     0.00774  0.00771  0.50   71982     555   71704  2432154  33.79
  1947          37     0.00773  0.00770  0.50   71427     550   71152  2360450  33.05
  1947          38     0.00827  0.00824  0.50   70877     584   70585  2289298  32.30
  1947          39     0.00902  0.00898  0.50   70293     632   69977  2218714  31.56
  1947          40     0.00910  0.00905  0.50   69661     631   69346  2148737  30.85
  1947          41     0.00821  0.00817  0.50   69030     564   68748  2079391  30.12
  1947          42     0.00826  0.00823  0.50   68466     563   68185  2010643  29.37
  1947          43     0.00857  0.00853  0.50   67903     579   67613  1942458  28.61
  1947          44     0.00818  0.00815  0.50   67323     549   67049  1874845  27.85
  1947          45     0.00842  0.00838  0.50   66775     560   66495  1807796  27.07
  1947          46     0.01002  0.00997  0.50   66215     660   65885  1741301  26.30
  1947          47     0.01031  0.01026  0.50   65555     673   65219  1675416  25.56
  1947          48     0.00976  0.00971  0.50   64882     630   64567  1610198  24.82
  1947          49     0.00961  0.00957  0.50   64252     615   63945  1545630  24.06
  1947          50     0.00999  0.00994  0.50   63638     633   63321  1481685  23.28
  1947          51     0.01074  0.01068  0.50   63005     673   62668  1418364  22.51
  1947          52     0.01171  0.01164  0.50   62332     726   61969  1355696  21.75
  1947          53     0.01273  0.01265  0.50   61606     779   61217  1293727  21.00
  1947          54     0.01340  0.01331  0.50   60827     810   60422  1232510  20.26
  1947          55     0.01366  0.01356  0.50   60017     814   59610  1172088  19.53
  1947          56     0.01380  0.01371  0.50   59203     812   58798  1112477  18.79
  1947          57     0.01531  0.01519  0.50   58392     887   57948  1053680  18.04
  1947          58     0.01847  0.01830  0.50   57505    1052   56979   995731  17.32
  1947          59     0.01950  0.01931  0.50   56453    1090   55907   938753  16.63
  1947          60     0.02038  0.02018  0.50   55362    1117   54804   882845  15.95
  1947          61     0.02371  0.02343  0.50   54245    1271   53610   828042  15.26
  1947          62     0.02731  0.02694  0.50   52974    1427   52261   774432  14.62
  1947          63     0.02890  0.02849  0.50   51547    1469   50813   722172  14.01
  1947          64     0.03050  0.03005  0.50   50079    1505   49326   671359  13.41
  1947          65     0.03344  0.03289  0.50   48574    1598   47775   622032  12.81
  1947          66     0.03416  0.03358  0.50   46976    1578   46187   574257  12.22
  1947          67     0.03595  0.03531  0.50   45399    1603   44597   528070  11.63
  1947          68     0.04206  0.04119  0.50   43795    1804   42893   483473  11.04
  1947          69     0.04690  0.04582  0.50   41991    1924   41029   440579  10.49
  1947          70     0.04683  0.04575  0.50   40067    1833   39151   399550   9.97
  1947          71     0.05115  0.04987  0.50   38234    1907   37281   360399   9.43
  1947          72     0.05882  0.05714  0.50   36327    2076   35289   323119   8.89
  1947          73     0.06614  0.06402  0.50   34252    2193   33155   287829   8.40
  1947          74     0.07316  0.07058  0.50   32059    2263   30927   254674   7.94
  1947          75     0.07959  0.07655  0.50   29796    2281   28655   223747   7.51
  1947          76     0.08245  0.07918  0.50   27515    2179   26426   195092   7.09
  1947          77     0.08737  0.08371  0.50   25336    2121   24276   168666   6.66
  1947          78     0.09984  0.09509  0.50   23215    2208   22112   144390   6.22
  1947          79     0.11476  0.10853  0.50   21008    2280   19868   122279   5.82
  1947          80     0.12645  0.11893  0.50   18728    2227   17614   102411   5.47
  1947          81     0.13733  0.12850  0.50   16500    2120   15440    84797   5.14
  1947          82     0.15055  0.14001  0.50   14380    2013   13373    69356   4.82
  1947          83     0.16470  0.15217  0.50   12367    1882   11426    55983   4.53
  1947          84     0.17963  0.16482  0.50   10485    1728    9621    44557   4.25
  1947          85     0.19572  0.17827  0.50    8757    1561    7976    34936   3.99
  1947          86     0.21293  0.19244  0.50    7196    1385    6503    26960   3.75
  1947          87     0.23114  0.20720  0.50    5811    1204    5209    20457   3.52
  1947          88     0.25043  0.22256  0.50    4607    1025    4094    15248   3.31
  1947          89     0.27078  0.23849  0.50    3582     854    3155    11154   3.11
  1947          90     0.29213  0.25490  0.50    2727     695    2380     7999   2.93
  1947          91     0.31444  0.27172  0.50    2032     552    1756     5619   2.77
  1947          92     0.33764  0.28887  0.50    1480     428    1266     3863   2.61
  1947          93     0.36165  0.30627  0.50    1052     322     891     2597   2.47
  1947          94     0.38636  0.32381  0.50     730     236     612     1706   2.34
  1947          95     0.41168  0.34141  0.50     494     169     409     1094   2.22
  1947          96     0.43748  0.35896  0.50     325     117     267      684   2.10
  1947          97     0.46361  0.37637  0.50     208      78     169      418   2.00
  1947          98     0.48995  0.39354  0.50     130      51     104      248   1.91
  1947          99     0.51635  0.41039  0.50      79      32      63      144   1.83
  1947         100     0.54265  0.42684  0.50      46      20      37       81   1.75
  1947         101     0.56872  0.44280  0.50      27      12      21       45   1.68
  1947         102     0.59441  0.45822  0.50      15       7      11       24   1.61
  1947         103     0.61960  0.47305  0.50       8       4       6       13   1.55
  1947         104     0.64416  0.48723  0.50       4       2       3        6   1.50
  1947         105     0.66797  0.50073  0.50       2       1       2        3   1.45
  1947         106     0.69097  0.51355  0.50       1       1       1        2   1.41
  1947         107     0.71307  0.52566  0.50       1       0       0        1   1.37
  1947         108     0.73417  0.53703  0.50       0       0       0        0   1.33
  1947         109     0.75418  0.54766  0.50       0       0       0        0   1.30
  1947         110+    0.78616  1.00000  1.27       0       0       0        0   1.27
  1948           0     0.05248  0.05038  0.21  100000    5038   95998  5967871  59.68
  1948           1     0.01618  0.01605  0.50   94962    1524   94199  5871873  61.83
  1948           2     0.01168  0.01162  0.50   93437    1085   92895  5777674  61.83
  1948           3     0.00794  0.00791  0.50   92352     730   91987  5684779  61.56
  1948           4     0.00516  0.00514  0.50   91622     471   91386  5592792  61.04
  1948           5     0.00336  0.00335  0.50   91150     305   90998  5501406  60.36
  1948           6     0.00231  0.00231  0.50   90845     210   90740  5410409  59.56
  1948           7     0.00174  0.00174  0.50   90635     157   90556  5319668  58.69
  1948           8     0.00139  0.00138  0.50   90478     125   90415  5229112  57.79
  1948           9     0.00121  0.00120  0.50   90352     109   90298  5138697  56.87
  1948          10     0.00120  0.00119  0.50   90244     108   90190  5048399  55.94
  1948          11     0.00133  0.00133  0.50   90136     120   90076  4958209  55.01
  1948          12     0.00157  0.00157  0.50   90016     142   89945  4868133  54.08
  1948          13     0.00186  0.00186  0.50   89874     167   89791  4778188  53.17
  1948          14     0.00222  0.00221  0.50   89707     199   89608  4688397  52.26
  1948          15     0.00269  0.00269  0.50   89509     241   89389  4598789  51.38
  1948          16     0.00326  0.00325  0.50   89268     291   89123  4509401  50.52
  1948          17     0.00389  0.00388  0.50   88978     346   88805  4420278  49.68
  1948          18     0.00462  0.00461  0.50   88632     409   88428  4331473  48.87
  1948          19     0.00548  0.00547  0.50   88224     482   87983  4243045  48.09
  1948          20     0.00639  0.00637  0.50   87741     559   87462  4155062  47.36
  1948          21     0.00722  0.00719  0.50   87182     627   86869  4067600  46.66
  1948          22     0.00786  0.00783  0.50   86555     678   86216  3980731  45.99
  1948          23     0.00831  0.00828  0.50   85878     711   85522  3894515  45.35
  1948          24     0.00858  0.00854  0.50   85167     727   84803  3808993  44.72
  1948          25     0.00856  0.00852  0.50   84440     720   84080  3724189  44.10
  1948          26     0.00833  0.00830  0.50   83720     695   83373  3640110  43.48
  1948          27     0.00801  0.00798  0.50   83025     662   82694  3556737  42.84
  1948          28     0.00764  0.00761  0.50   82363     627   82050  3474043  42.18
  1948          29     0.00723  0.00720  0.50   81737     589   81442  3391993  41.50
  1948          30     0.00677  0.00675  0.50   81148     548   80874  3310551  40.80
  1948          31     0.00638  0.00636  0.50   80600     513   80344  3229677  40.07
  1948          32     0.00616  0.00615  0.50   80087     492   79841  3149333  39.32
  1948          33     0.00612  0.00610  0.50   79595     485   79352  3069492  38.56
  1948          34     0.00619  0.00618  0.50   79110     489   78866  2990139  37.80
  1948          35     0.00630  0.00628  0.50   78621     493   78375  2911274  37.03
  1948          36     0.00633  0.00631  0.50   78128     493   77881  2832899  36.26
  1948          37     0.00631  0.00629  0.50   77635     488   77391  2755018  35.49
  1948          38     0.00625  0.00623  0.50   77147     481   76906  2677627  34.71
  1948          39     0.00622  0.00620  0.50   76666     476   76428  2600721  33.92
  1948          40     0.00633  0.00631  0.50   76190     481   75950  2524293  33.13
  1948          41     0.00663  0.00660  0.50   75709     500   75459  2448343  32.34
  1948          42     0.00689  0.00686  0.50   75209     516   74951  2372884  31.55
  1948          43     0.00702  0.00700  0.50   74693     523   74431  2297933  30.77
  1948          44     0.00704  0.00702  0.50   74170     521   73910  2223502  29.98
  1948          45     0.00713  0.00711  0.50   73649     523   73388  2149592  29.19
  1948          46     0.00743  0.00740  0.50   73126     541   72855  2076204  28.39
  1948          47     0.00777  0.00774  0.50   72585     562   72304  2003349  27.60
  1948          48     0.00805  0.00802  0.50   72023     577   71734  1931045  26.81
  1948          49     0.00823  0.00820  0.50   71445     586   71152  1859311  26.02
  1948          50     0.00849  0.00845  0.50   70860     599   70560  1788159  25.24
  1948          51     0.00899  0.00895  0.50   70261     629   69946  1717599  24.45
  1948          52     0.00973  0.00969  0.50   69632     675   69295  1647653  23.66
  1948          53     0.01070  0.01065  0.50   68957     734   68590  1578358  22.89
  1948          54     0.01186  0.01179  0.50   68223     804   67821  1509768  22.13
  1948          55     0.01290  0.01282  0.50   67419     864   66987  1441947  21.39
  1948          56     0.01356  0.01346  0.50   66555     896   66107  1374960  20.66
  1948          57     0.01399  0.01390  0.50   65659     912   65202  1308854  19.93
  1948          58     0.01449  0.01438  0.50   64746     931   64280  1243651  19.21
  1948          59     0.01523  0.01512  0.50   63815     965   63332  1179371  18.48
  1948          60     0.01636  0.01623  0.50   62850    1020   62340  1116039  17.76
  1948          61     0.01796  0.01780  0.50   61830    1101   61280  1053698  17.04
  1948          62     0.02000  0.01980  0.50   60730    1203   60128   992419  16.34
  1948          63     0.02238  0.02213  0.50   59527    1317   58868   932290  15.66
  1948          64     0.02476  0.02445  0.50   58209    1424   57498   873422  15.00
  1948          65     0.02691  0.02655  0.50   56786    1508   56032   815925  14.37
  1948          66     0.02913  0.02871  0.50   55278    1587   54484   759893  13.75
  1948          67     0.03149  0.03100  0.50   53691    1665   52859   705408  13.14
  1948          68     0.03397  0.03340  0.50   52026    1738   51157   652550  12.54
  1948          69     0.03652  0.03587  0.50   50289    1804   49387   601392  11.96
  1948          70     0.03939  0.03863  0.50   48485    1873   47549   552005  11.39
  1948          71     0.04350  0.04257  0.50   46612    1984   45620   504457  10.82
  1948          72     0.04832  0.04718  0.50   44628    2106   43575   458837  10.28
  1948          73     0.05307  0.05169  0.50   42522    2198   41423   415262   9.77
  1948          74     0.05751  0.05590  0.50   40324    2254   39197   373839   9.27
  1948          75     0.06170  0.05985  0.50   38070    2278   36930   334643   8.79
  1948          76     0.06614  0.06402  0.50   35791    2291   34645   297712   8.32
  1948          77     0.07137  0.06891  0.50   33500    2309   32345   263067   7.85
  1948          78     0.07786  0.07494  0.50   31191    2338   30022   230721   7.40
  1948          79     0.08588  0.08235  0.50   28854    2376   27666   200699   6.96
  1948          80     0.09550  0.09115  0.50   26478    2413   25271   173033   6.54
  1948          81     0.10608  0.10073  0.50   24064    2424   22852   147762   6.14
  1948          82     0.11699  0.11052  0.50   21640    2392   20444   124910   5.77
  1948          83     0.12834  0.12060  0.50   19248    2321   18088   104466   5.43
  1948          84     0.14033  0.13113  0.50   16927    2220   15817    86378   5.10
  1948          85     0.15313  0.14224  0.50   14707    2092   13661    70561   4.80
  1948          86     0.16684  0.15399  0.50   12615    1943   11644    56899   4.51
  1948          87     0.18154  0.16643  0.50   10673    1776    9785    45255   4.24
  1948          88     0.19725  0.17954  0.50    8896    1597    8098    35471   3.99
  1948          89     0.21398  0.19330  0.50    7299    1411    6594    27373   3.75
  1948          90     0.23172  0.20766  0.50    5888    1223    5277    20779   3.53
  1948          91     0.25047  0.22260  0.50    4666    1039    4146    15502   3.32
  1948          92     0.27021  0.23805  0.50    3627     863    3195    11356   3.13
  1948          93     0.29089  0.25395  0.50    2764     702    2413     8161   2.95
  1948          94     0.31248  0.27025  0.50    2062     557    1783     5748   2.79
  1948          95     0.33491  0.28687  0.50    1505     432    1289     3965   2.64
  1948          96     0.35811  0.30373  0.50    1073     326     910     2676   2.49
  1948          97     0.38200  0.32074  0.50     747     240     627     1766   2.36
  1948          98     0.40646  0.33781  0.50     507     171     422     1139   2.24
  1948          99     0.43141  0.35486  0.50     336     119     276      717   2.13
  1948         100     0.45670  0.37180  0.50     217      81     176      441   2.03
  1948         101     0.48223  0.38854  0.50     136      53     110      264   1.94
  1948         102     0.50784  0.40500  0.50      83      34      66      154   1.85
  1948         103     0.53341  0.42110  0.50      50      21      39       88   1.78
  1948         104     0.55879  0.43676  0.50      29      13      22       49   1.71
  1948         105     0.58384  0.45192  0.50      16       7      13       27   1.64
  1948         106     0.60842  0.46650  0.50       9       4       7       14   1.58
  1948         107     0.63243  0.48049  0.50       5       2       4        7   1.53
  1948         108     0.65587  0.49390  0.50       2       1       2        4   1.48
  1948         109     0.67882  0.50681  0.50       1       1       1        2   1.43
  1948         110+    0.71811  1.00000  1.39       1       1       1        1   1.39
  1949           0     0.05312  0.05097  0.21  100000    5097   95955  6115263  61.15
  1949           1     0.01376  0.01367  0.50   94903    1297   94254  6019309  63.43
  1949           2     0.01056  0.01050  0.50   93606     983   93114  5925054  63.30
  1949           3     0.00763  0.00760  0.50   92622     704   92271  5831940  62.96
  1949           4     0.00517  0.00515  0.50   91919     474   91682  5739670  62.44
  1949           5     0.00334  0.00333  0.50   91445     305   91293  5647988  61.76
  1949           6     0.00211  0.00211  0.50   91140     192   91044  5556695  60.97
  1949           7     0.00139  0.00139  0.50   90948     127   90885  5465650  60.10
  1949           8     0.00101  0.00101  0.50   90822      92   90776  5374765  59.18
  1949           9     0.00084  0.00084  0.50   90730      77   90692  5283989  58.24
  1949          10     0.00081  0.00081  0.50   90654      74   90617  5193297  57.29
  1949          11     0.00088  0.00088  0.50   90580      80   90540  5102680  56.33
  1949          12     0.00103  0.00103  0.50   90500      93   90454  5012140  55.38
  1949          13     0.00124  0.00124  0.50   90408     112   90351  4921686  54.44
  1949          14     0.00157  0.00157  0.50   90295     141   90224  4831335  53.51
  1949          15     0.00203  0.00203  0.50   90154     183   90062  4741111  52.59
  1949          16     0.00259  0.00259  0.50   89971     233   89854  4651048  51.69
  1949          17     0.00322  0.00321  0.50   89738     289   89594  4561194  50.83
  1949          18     0.00385  0.00384  0.50   89449     344   89278  4471600  49.99
  1949          19     0.00444  0.00443  0.50   89106     395   88908  4382323  49.18
  1949          20     0.00500  0.00499  0.50   88711     442   88490  4293414  48.40
  1949          21     0.00550  0.00548  0.50   88269     484   88027  4204924  47.64
  1949          22     0.00591  0.00589  0.50   87785     517   87526  4116898  46.90
  1949          23     0.00623  0.00621  0.50   87267     542   86996  4029372  46.17
  1949          24     0.00645  0.00643  0.50   86726     557   86447  3942375  45.46
  1949          25     0.00658  0.00656  0.50   86168     565   85886  3855929  44.75
  1949          26     0.00660  0.00658  0.50   85603     563   85322  3770043  44.04
  1949          27     0.00649  0.00647  0.50   85040     550   84765  3684721  43.33
  1949          28     0.00627  0.00625  0.50   84490     528   84226  3599956  42.61
  1949          29     0.00596  0.00594  0.50   83962     499   83713  3515730  41.87
  1949          30     0.00565  0.00564  0.50   83463     471   83228  3432017  41.12
  1949          31     0.00539  0.00538  0.50   82993     446   82770  3348789  40.35
  1949          32     0.00518  0.00516  0.50   82547     426   82333  3266019  39.57
  1949          33     0.00503  0.00502  0.50   82120     412   81914  3183686  38.77
  1949          34     0.00498  0.00497  0.50   81708     406   81505  3101772  37.96
  1949          35     0.00504  0.00502  0.50   81302     409   81098  3020267  37.15
  1949          36     0.00521  0.00520  0.50   80894     420   80684  2939169  36.33
  1949          37     0.00543  0.00542  0.50   80473     436   80255  2858485  35.52
  1949          38     0.00568  0.00566  0.50   80037     453   79811  2778230  34.71
  1949          39     0.00593  0.00591  0.50   79584     471   79349  2698419  33.91
  1949          40     0.00615  0.00613  0.50   79113     485   78871  2619070  33.11
  1949          41     0.00631  0.00629  0.50   78628     495   78381  2540199  32.31
  1949          42     0.00641  0.00639  0.50   78134     499   77884  2461818  31.51
  1949          43     0.00649  0.00647  0.50   77634     502   77383  2383934  30.71
  1949          44     0.00655  0.00653  0.50   77132     503   76881  2306551  29.90
  1949          45     0.00662  0.00660  0.50   76629     505   76376  2229670  29.10
  1949          46     0.00672  0.00670  0.50   76123     510   75868  2153294  28.29
  1949          47     0.00694  0.00692  0.50   75613     523   75352  2077426  27.47
  1949          48     0.00731  0.00729  0.50   75090     547   74817  2002074  26.66
  1949          49     0.00786  0.00783  0.50   74543     583   74251  1927258  25.85
  1949          50     0.00851  0.00848  0.50   73960     627   73646  1853006  25.05
  1949          51     0.00920  0.00916  0.50   73333     671   72997  1779360  24.26
  1949          52     0.00987  0.00982  0.50   72661     714   72305  1706363  23.48
  1949          53     0.01052  0.01046  0.50   71948     753   71571  1634058  22.71
  1949          54     0.01118  0.01112  0.50   71195     792   70799  1562487  21.95
  1949          55     0.01193  0.01186  0.50   70403     835   69986  1491688  21.19
  1949          56     0.01282  0.01274  0.50   69568     886   69125  1421702  20.44
  1949          57     0.01383  0.01373  0.50   68682     943   68211  1352577  19.69
  1949          58     0.01490  0.01479  0.50   67739    1002   67238  1284366  18.96
  1949          59     0.01595  0.01583  0.50   66737    1056   66209  1217128  18.24
  1949          60     0.01702  0.01688  0.50   65681    1108   65127  1150919  17.52
  1949          61     0.01818  0.01801  0.50   64573    1163   63991  1085792  16.82
  1949          62     0.01949  0.01930  0.50   63409    1224   62797  1021801  16.11
  1949          63     0.02103  0.02081  0.50   62186    1294   61539   959004  15.42
  1949          64     0.02293  0.02267  0.50   60892    1381   60201   897465  14.74
  1949          65     0.02538  0.02506  0.50   59511    1491   58765   837264  14.07
  1949          66     0.02847  0.02807  0.50   58020    1629   57206   778498  13.42
  1949          67     0.03192  0.03142  0.50   56391    1772   55505   721293  12.79
  1949          68     0.03538  0.03476  0.50   54619    1899   53670   665787  12.19
  1949          69     0.03866  0.03793  0.50   52721    2000   51721   612117  11.61
  1949          70     0.04174  0.04089  0.50   50721    2074   49684   560396  11.05
  1949          71     0.04497  0.04398  0.50   48647    2140   47577   510712  10.50
  1949          72     0.04883  0.04767  0.50   46507    2217   45399   463135   9.96
  1949          73     0.05370  0.05230  0.50   44291    2316   43132   417736   9.43
  1949          74     0.05961  0.05788  0.50   41974    2430   40759   374603   8.92
  1949          75     0.06639  0.06426  0.50   39545    2541   38274   333844   8.44
  1949          76     0.07370  0.07108  0.50   37003    2630   35688   295570   7.99
  1949          77     0.08119  0.07802  0.50   34373    2682   33032   259882   7.56
  1949          78     0.08862  0.08486  0.50   31692    2689   30347   226849   7.16
  1949          79     0.09605  0.09165  0.50   29002    2658   27673   196502   6.78
  1949          80     0.10366  0.09855  0.50   26344    2596   25046   168829   6.41
  1949          81     0.11189  0.10596  0.50   23748    2516   22490   143783   6.05
  1949          82     0.12115  0.11423  0.50   21231    2425   20019   121294   5.71
  1949          83     0.13153  0.12341  0.50   18806    2321   17646   101275   5.39
  1949          84     0.14298  0.13344  0.50   16485    2200   15385    83629   5.07
  1949          85     0.15546  0.14425  0.50   14285    2061   13255    68244   4.78
  1949          86     0.16892  0.15576  0.50   12225    1904   11273    54989   4.50
  1949          87     0.18331  0.16792  0.50   10321    1733    9454    43716   4.24
  1949          88     0.19862  0.18068  0.50    8588    1552    7812    34262   3.99
  1949          89     0.21486  0.19402  0.50    7036    1365    6353    26450   3.76
  1949          90     0.23202  0.20790  0.50    5671    1179    5081    20097   3.54
  1949          91     0.25011  0.22231  0.50    4492     999    3993    15016   3.34
  1949          92     0.26909  0.23718  0.50    3493     829    3079    11023   3.16
  1949          93     0.28896  0.25249  0.50    2665     673    2328     7944   2.98
  1949          94     0.30968  0.26816  0.50    1992     534    1725     5615   2.82
  1949          95     0.33118  0.28413  0.50    1458     414    1251     3891   2.67
  1949          96     0.35342  0.30034  0.50    1044     313     887     2640   2.53
  1949          97     0.37631  0.31672  0.50     730     231     615     1753   2.40
  1949          98     0.39976  0.33317  0.50     499     166     416     1139   2.28
  1949          99     0.42368  0.34962  0.50     333     116     275      723   2.17
  1949         100     0.44797  0.36599  0.50     216      79     177      448   2.07
  1949         101     0.47249  0.38220  0.50     137      52     111      271   1.98
  1949         102     0.49714  0.39817  0.50      85      34      68      160   1.89
  1949         103     0.52178  0.41382  0.50      51      21      40       93   1.81
  1949         104     0.54629  0.42908  0.50      30      13      23       52   1.74
  1949         105     0.57053  0.44390  0.50      17       8      13       29   1.68
  1949         106     0.59443  0.45823  0.50       9       4       7       15   1.62
  1949         107     0.61791  0.47206  0.50       5       2       4        8   1.56
  1949         108     0.64100  0.48542  0.50       3       1       2        4   1.51
  1949         109     0.66379  0.49838  0.50       1       1       1        2   1.46
  1949         110+    0.70317  1.00000  1.42       1       1       1        1   1.42
  1950           0     0.05003  0.04812  0.20  100000    4812   96166  6278985  62.79
  1950           1     0.01117  0.01111  0.50   95188    1057   94660  6182819  64.95
  1950           2     0.00882  0.00878  0.50   94131     827   93718  6088159  64.68
  1950           3     0.00667  0.00664  0.50   93304     620   92994  5994442  64.25
  1950           4     0.00482  0.00480  0.50   92684     445   92462  5901447  63.67
  1950           5     0.00335  0.00334  0.50   92239     309   92085  5808985  62.98
  1950           6     0.00227  0.00227  0.50   91931     209   91826  5716900  62.19
  1950           7     0.00155  0.00155  0.50   91722     142   91651  5625074  61.33
  1950           8     0.00112  0.00112  0.50   91580     103   91528  5533423  60.42
  1950           9     0.00090  0.00090  0.50   91477      83   91436  5441895  59.49
  1950          10     0.00082  0.00082  0.50   91394      75   91357  5350459  58.54
  1950          11     0.00083  0.00083  0.50   91319      76   91281  5259103  57.59
  1950          12     0.00090  0.00090  0.50   91243      82   91202  5167821  56.64
  1950          13     0.00102  0.00102  0.50   91161      93   91115  5076619  55.69
  1950          14     0.00121  0.00121  0.50   91068     110   91013  4985505  54.74
  1950          15     0.00148  0.00148  0.50   90958     135   90891  4894491  53.81
  1950          16     0.00183  0.00183  0.50   90824     166   90741  4803600  52.89
  1950          17     0.00225  0.00224  0.50   90658     203   90556  4712860  51.99
  1950          18     0.00270  0.00270  0.50   90454     244   90332  4622304  51.10
  1950          19     0.00316  0.00315  0.50   90210     285   90068  4531971  50.24
  1950          20     0.00361  0.00361  0.50   89926     324   89764  4441903  49.40
  1950          21     0.00406  0.00405  0.50   89601     363   89420  4352140  48.57
  1950          22     0.00449  0.00448  0.50   89239     400   89039  4262720  47.77
  1950          23     0.00487  0.00486  0.50   88839     432   88623  4173681  46.98
  1950          24     0.00518  0.00517  0.50   88407     457   88179  4085058  46.21
  1950          25     0.00541  0.00539  0.50   87950     474   87713  3996879  45.44
  1950          26     0.00552  0.00551  0.50   87476     482   87235  3909167  44.69
  1950          27     0.00551  0.00549  0.50   86994     478   86755  3821932  43.93
  1950          28     0.00539  0.00538  0.50   86516     465   86284  3735177  43.17
  1950          29     0.00522  0.00521  0.50   86051     448   85827  3648893  42.40
  1950          30     0.00505  0.00504  0.50   85603     432   85387  3563066  41.62
  1950          31     0.00490  0.00488  0.50   85171     416   84963  3477680  40.83
  1950          32     0.00476  0.00474  0.50   84755     402   84554  3392716  40.03
  1950          33     0.00465  0.00464  0.50   84353     391   84158  3308162  39.22
  1950          34     0.00458  0.00457  0.50   83962     384   83770  3224005  38.40
  1950          35     0.00455  0.00454  0.50   83578     380   83388  3140235  37.57
  1950          36     0.00455  0.00454  0.50   83198     378   83009  3056846  36.74
  1950          37     0.00459  0.00458  0.50   82821     380   82631  2973837  35.91
  1950          38     0.00467  0.00466  0.50   82441     384   82249  2891206  35.07
  1950          39     0.00477  0.00476  0.50   82057     390   81862  2808957  34.23
  1950          40     0.00486  0.00485  0.50   81667     396   81469  2727096  33.39
  1950          41     0.00494  0.00493  0.50   81271     400   81070  2645627  32.55
  1950          42     0.00501  0.00499  0.50   80870     404   80668  2564557  31.71
  1950          43     0.00510  0.00509  0.50   80466     409   80262  2483889  30.87
  1950          44     0.00525  0.00524  0.50   80057     419   79847  2403627  30.02
  1950          45     0.00550  0.00548  0.50   79638     437   79419  2323780  29.18
  1950          46     0.00584  0.00583  0.50   79201     461   78970  2244361  28.34
  1950          47     0.00624  0.00622  0.50   78740     490   78495  2165391  27.50
  1950          48     0.00664  0.00662  0.50   78250     518   77991  2086896  26.67
  1950          49     0.00703  0.00701  0.50   77732     545   77459  2008905  25.84
  1950          50     0.00746  0.00744  0.50   77187     574   76900  1931446  25.02
  1950          51     0.00799  0.00796  0.50   76613     610   76308  1854546  24.21
  1950          52     0.00861  0.00858  0.50   76003     652   75678  1778237  23.40
  1950          53     0.00933  0.00929  0.50   75352     700   75002  1702560  22.59
  1950          54     0.01016  0.01011  0.50   74652     754   74274  1627558  21.80
  1950          55     0.01106  0.01100  0.50   73897     813   73491  1553284  21.02
  1950          56     0.01201  0.01194  0.50   73084     873   72648  1479793  20.25
  1950          57     0.01303  0.01294  0.50   72212     935   71744  1407145  19.49
