20.Nagano.ken, Life tables (period 1x1), Males     Last modified:2025-04-30, ver.005_001 JMD(IPSS)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1947           0     0.08094  0.07638  0.26  100000    7638   94365  5186831  51.87
  1947           1     0.02124  0.02101  0.50   92362    1941   91392  5092466  55.14
  1947           2     0.01660  0.01646  0.50   90421    1488   89677  5001074  55.31
  1947           3     0.01233  0.01225  0.50   88933    1090   88388  4911397  55.23
  1947           4     0.00869  0.00866  0.50   87843     760   87463  4823009  54.90
  1947           5     0.00588  0.00586  0.50   87083     510   86828  4735546  54.38
  1947           6     0.00385  0.00384  0.50   86573     333   86406  4648718  53.70
  1947           7     0.00251  0.00250  0.50   86240     216   86132  4562312  52.90
  1947           8     0.00170  0.00170  0.50   86024     146   85951  4476180  52.03
  1947           9     0.00128  0.00128  0.50   85878     110   85823  4390229  51.12
  1947          10     0.00113  0.00113  0.50   85768      97   85720  4304406  50.19
  1947          11     0.00118  0.00118  0.50   85671     101   85621  4218686  49.24
  1947          12     0.00137  0.00137  0.50   85570     118   85511  4133065  48.30
  1947          13     0.00171  0.00171  0.50   85453     146   85379  4047554  47.37
  1947          14     0.00221  0.00220  0.50   85306     188   85212  3962174  46.45
  1947          15     0.00284  0.00284  0.50   85118     242   84997  3876962  45.55
  1947          16     0.00361  0.00360  0.50   84877     306   84724  3791965  44.68
  1947          17     0.00447  0.00446  0.50   84571     377   84382  3707241  43.84
  1947          18     0.00536  0.00534  0.50   84194     450   83969  3622859  43.03
  1947          19     0.00620  0.00618  0.50   83744     518   83485  3538890  42.26
  1947          20     0.00693  0.00691  0.50   83226     575   82939  3455405  41.52
  1947          21     0.00751  0.00748  0.50   82651     618   82342  3372466  40.80
  1947          22     0.00790  0.00787  0.50   82033     645   81711  3290124  40.11
  1947          23     0.00814  0.00810  0.50   81388     659   81058  3208413  39.42
  1947          24     0.00827  0.00824  0.50   80728     665   80396  3127355  38.74
  1947          25     0.00834  0.00830  0.50   80064     665   79731  3046959  38.06
  1947          26     0.00834  0.00830  0.50   79399     659   79069  2967228  37.37
  1947          27     0.00825  0.00822  0.50   78740     647   78416  2888159  36.68
  1947          28     0.00811  0.00807  0.50   78092     631   77777  2809743  35.98
  1947          29     0.00794  0.00791  0.50   77462     613   77155  2731966  35.27
  1947          30     0.00785  0.00782  0.50   76849     601   76548  2654810  34.55
  1947          31     0.00784  0.00781  0.50   76248     595   75950  2578262  33.81
  1947          32     0.00786  0.00783  0.50   75652     593   75356  2502312  33.08
  1947          33     0.00790  0.00787  0.50   75060     590   74764  2426956  32.33
  1947          34     0.00791  0.00788  0.50   74469     586   74176  2352192  31.59
  1947          35     0.00791  0.00788  0.50   73883     582   73592  2278016  30.83
  1947          36     0.00793  0.00790  0.50   73301     579   73011  2204424  30.07
  1947          37     0.00797  0.00794  0.50   72722     577   72433  2131413  29.31
  1947          38     0.00803  0.00800  0.50   72144     577   71856  2058980  28.54
  1947          39     0.00811  0.00807  0.50   71568     578   71279  1987124  27.77
  1947          40     0.00820  0.00817  0.50   70990     580   70700  1915845  26.99
  1947          41     0.00833  0.00829  0.50   70410     584   70118  1845145  26.21
  1947          42     0.00849  0.00846  0.50   69826     590   69531  1775027  25.42
  1947          43     0.00870  0.00866  0.50   69235     600   68936  1705497  24.63
  1947          44     0.00895  0.00891  0.50   68636     612   68330  1636561  23.84
  1947          45     0.00927  0.00923  0.50   68024     628   67710  1568231  23.05
  1947          46     0.00968  0.00964  0.50   67397     649   67072  1500520  22.26
  1947          47     0.01022  0.01017  0.50   66747     679   66408  1433449  21.48
  1947          48     0.01095  0.01089  0.50   66069     719   65709  1367041  20.69
  1947          49     0.01193  0.01186  0.50   65349     775   64962  1301332  19.91
  1947          50     0.01316  0.01307  0.50   64574     844   64152  1236370  19.15
  1947          51     0.01459  0.01448  0.50   63730     923   63268  1172218  18.39
  1947          52     0.01615  0.01602  0.50   62807    1006   62304  1108950  17.66
  1947          53     0.01776  0.01760  0.50   61800    1088   61256  1046646  16.94
  1947          54     0.01936  0.01918  0.50   60713    1164   60130   985390  16.23
  1947          55     0.02108  0.02086  0.50   59548    1242   58927   925259  15.54
  1947          56     0.02304  0.02278  0.50   58306    1328   57642   866332  14.86
  1947          57     0.02537  0.02505  0.50   56978    1427   56265   808690  14.19
  1947          58     0.02809  0.02770  0.50   55551    1539   54782   752425  13.54
  1947          59     0.03103  0.03056  0.50   54012    1651   53187   697643  12.92
  1947          60     0.03417  0.03360  0.50   52362    1759   51482   644457  12.31
  1947          61     0.03753  0.03684  0.50   50603    1864   49670   592974  11.72
  1947          62     0.04118  0.04035  0.50   48738    1967   47755   543304  11.15
  1947          63     0.04516  0.04416  0.50   46772    2066   45739   495549  10.60
  1947          64     0.04945  0.04826  0.50   44706    2158   43627   449810  10.06
  1947          65     0.05407  0.05265  0.50   42549    2240   41429   406183   9.55
  1947          66     0.05919  0.05748  0.50   40309    2317   39150   364754   9.05
  1947          67     0.06480  0.06276  0.50   37991    2385   36799   325604   8.57
  1947          68     0.07086  0.06844  0.50   35607    2437   34389   288805   8.11
  1947          69     0.07740  0.07451  0.50   33170    2472   31934   254416   7.67
  1947          70     0.08447  0.08105  0.50   30699    2488   29454   222482   7.25
  1947          71     0.09224  0.08817  0.50   28210    2487   26967   193027   6.84
  1947          72     0.10080  0.09596  0.50   25723    2468   24489   166061   6.46
  1947          73     0.11021  0.10445  0.50   23255    2429   22040   141572   6.09
  1947          74     0.12041  0.11357  0.50   20826    2365   19643   119532   5.74
  1947          75     0.13133  0.12324  0.50   18460    2275   17323    99889   5.41
  1947          76     0.14301  0.13346  0.50   16185    2160   15105    82566   5.10
  1947          77     0.15529  0.14410  0.50   14025    2021   13015    67460   4.81
  1947          78     0.16798  0.15497  0.50   12004    1860   11074    54446   4.54
  1947          79     0.18100  0.16598  0.50   10144    1684    9302    43372   4.28
  1947          80     0.19442  0.17720  0.50    8460    1499    7711    34070   4.03
  1947          81     0.20910  0.18930  0.50    6961    1318    6302    26359   3.79
  1947          82     0.22584  0.20293  0.50    5643    1145    5071    20057   3.55
  1947          83     0.24478  0.21809  0.50    4498     981    4008    14986   3.33
  1947          84     0.26576  0.23459  0.50    3517     825    3105    10978   3.12
  1947          85     0.28861  0.25222  0.50    2692     679    2353     7873   2.92
  1947          86     0.31307  0.27069  0.50    2013     545    1741     5521   2.74
  1947          87     0.33885  0.28976  0.50    1468     425    1255     3780   2.57
  1947          88     0.36572  0.30918  0.50    1043     322     882     2525   2.42
  1947          89     0.39347  0.32879  0.50     720     237     602     1643   2.28
  1947          90     0.42189  0.34840  0.50     484     168     399     1041   2.15
  1947          91     0.45079  0.36788  0.50     315     116     257      642   2.04
  1947          92     0.47999  0.38709  0.50     199      77     161      385   1.93
  1947          93     0.50929  0.40592  0.50     122      50      97      224   1.84
  1947          94     0.53850  0.42427  0.50      73      31      57      127   1.75
  1947          95     0.56744  0.44203  0.50      42      18      33       70   1.67
  1947          96     0.59593  0.45913  0.50      23      11      18       37   1.60
  1947          97     0.62379  0.47549  0.50      13       6      10       19   1.54
  1947          98     0.65085  0.49105  0.50       7       3       5       10   1.48
  1947          99     0.67696  0.50577  0.50       3       2       3        5   1.43
  1947         100     0.70200  0.51961  0.50       2       1       1        2   1.39
  1947         101     0.72585  0.53257  0.50       1       0       1        1   1.35
  1947         102     0.74843  0.54463  0.50       0       0       0        0   1.31
  1947         103     0.76970  0.55580  0.50       0       0       0        0   1.28
  1947         104     0.78963  0.56612  0.50       0       0       0        0   1.25
  1947         105     0.80826  0.57563  0.50       0       0       0        0   1.22
  1947         106     0.82569  0.58442  0.50       0       0       0        0   1.20
  1947         107     0.84207  0.59257  0.50       0       0       0        0   1.17
  1947         108     0.85764  0.60025  0.50       0       0       0        0   1.15
  1947         109     0.87270  0.60758  0.50       0       0       0        0   1.14
  1947         110+    0.89074  1.00000  1.12       0       0       0        0   1.12
  1948           0     0.06130  0.05847  0.21  100000    5847   95378  5619860  56.20
  1948           1     0.01596  0.01583  0.50   94153    1491   93408  5524482  58.68
  1948           2     0.01056  0.01050  0.50   92663     973   92176  5431074  58.61
  1948           3     0.00659  0.00657  0.50   91689     602   91388  5338898  58.23
  1948           4     0.00410  0.00409  0.50   91087     373   90901  5247509  57.61
  1948           5     0.00279  0.00278  0.50   90714     252   90588  5156609  56.84
  1948           6     0.00224  0.00224  0.50   90462     202   90361  5066021  56.00
  1948           7     0.00206  0.00205  0.50   90259     185   90167  4975660  55.13
  1948           8     0.00194  0.00194  0.50   90074     175   89987  4885493  54.24
  1948           9     0.00179  0.00178  0.50   89900     160   89819  4795507  53.34
  1948          10     0.00157  0.00157  0.50   89739     141   89669  4705687  52.44
  1948          11     0.00139  0.00139  0.50   89599     124   89536  4616018  51.52
  1948          12     0.00136  0.00136  0.50   89474     121   89413  4526482  50.59
  1948          13     0.00145  0.00145  0.50   89353     129   89288  4437068  49.66
  1948          14     0.00165  0.00165  0.50   89224     147   89150  4347780  48.73
  1948          15     0.00198  0.00197  0.50   89077     176   88989  4258630  47.81
  1948          16     0.00246  0.00246  0.50   88901     219   88791  4169642  46.90
  1948          17     0.00313  0.00312  0.50   88682     277   88544  4080850  46.02
  1948          18     0.00391  0.00390  0.50   88405     345   88233  3992307  45.16
  1948          19     0.00470  0.00469  0.50   88061     413   87854  3904074  44.33
  1948          20     0.00543  0.00542  0.50   87648     475   87410  3816220  43.54
  1948          21     0.00607  0.00605  0.50   87173     527   86909  3728809  42.77
  1948          22     0.00660  0.00658  0.50   86646     570   86361  3641900  42.03
  1948          23     0.00707  0.00704  0.50   86076     606   85773  3555539  41.31
  1948          24     0.00754  0.00751  0.50   85470     642   85149  3469766  40.60
  1948          25     0.00803  0.00800  0.50   84828     678   84489  3384618  39.90
  1948          26     0.00820  0.00817  0.50   84150     687   83806  3300129  39.22
  1948          27     0.00784  0.00781  0.50   83462     652   83136  3216323  38.54
  1948          28     0.00765  0.00762  0.50   82810     631   82495  3133187  37.84
  1948          29     0.00809  0.00805  0.50   82179     662   81848  3050692  37.12
  1948          30     0.00819  0.00815  0.50   81517     665   81185  2968844  36.42
  1948          31     0.00798  0.00794  0.50   80853     642   80531  2887659  35.72
  1948          32     0.00775  0.00772  0.50   80210     619   79901  2807128  35.00
  1948          33     0.00741  0.00739  0.50   79591     588   79297  2727227  34.27
  1948          34     0.00686  0.00684  0.50   79004     540   78734  2647929  33.52
  1948          35     0.00624  0.00622  0.50   78464     488   78219  2569196  32.74
  1948          36     0.00578  0.00577  0.50   77975     450   77751  2490976  31.95
  1948          37     0.00568  0.00566  0.50   77526     439   77306  2413226  31.13
  1948          38     0.00594  0.00592  0.50   77087     457   76858  2335920  30.30
  1948          39     0.00647  0.00645  0.50   76630     494   76383  2259061  29.48
  1948          40     0.00685  0.00683  0.50   76136     520   75876  2182678  28.67
  1948          41     0.00684  0.00681  0.50   75616     515   75358  2106802  27.86
  1948          42     0.00704  0.00701  0.50   75101     527   74838  2031444  27.05
  1948          43     0.00748  0.00746  0.50   74574     556   74296  1956606  26.24
  1948          44     0.00797  0.00794  0.50   74018     588   73724  1882310  25.43
  1948          45     0.00818  0.00814  0.50   73430     598   73131  1808586  24.63
  1948          46     0.00806  0.00802  0.50   72832     584   72540  1735455  23.83
  1948          47     0.00858  0.00854  0.50   72248     617   71939  1662915  23.02
  1948          48     0.00986  0.00981  0.50   71631     703   71279  1590976  22.21
  1948          49     0.01157  0.01150  0.50   70928     816   70520  1519696  21.43
  1948          50     0.01287  0.01279  0.50   70112     896   69664  1449176  20.67
  1948          51     0.01324  0.01315  0.50   69215     910   68760  1379513  19.93
  1948          52     0.01406  0.01396  0.50   68305     953   67828  1310753  19.19
  1948          53     0.01611  0.01598  0.50   67352    1076   66813  1242924  18.45
  1948          54     0.01696  0.01682  0.50   66275    1115   65718  1176111  17.75
  1948          55     0.01707  0.01692  0.50   65161    1103   64609  1110393  17.04
  1948          56     0.01770  0.01755  0.50   64058    1124   63496  1045784  16.33
  1948          57     0.01963  0.01944  0.50   62934    1223   62322   982288  15.61
  1948          58     0.02300  0.02273  0.50   61710    1403   61009   919966  14.91
  1948          59     0.02632  0.02597  0.50   60308    1566   59524   858957  14.24
  1948          60     0.02891  0.02850  0.50   58741    1674   57904   799432  13.61
  1948          61     0.03075  0.03029  0.50   57067    1728   56203   741528  12.99
  1948          62     0.03322  0.03268  0.50   55339    1808   54435   685325  12.38
  1948          63     0.03732  0.03663  0.50   53530    1961   52550   630890  11.79
  1948          64     0.04111  0.04028  0.50   51570    2077   50531   578340  11.21
  1948          65     0.04354  0.04261  0.50   49492    2109   48438   527809  10.66
  1948          66     0.04837  0.04723  0.50   47383    2238   46264   479371  10.12
  1948          67     0.05459  0.05314  0.50   45145    2399   43946   433107   9.59
  1948          68     0.06013  0.05837  0.50   42747    2495   41499   389161   9.10
  1948          69     0.06521  0.06315  0.50   40251    2542   38980   347662   8.64
  1948          70     0.07086  0.06844  0.50   37709    2581   36419   308682   8.19
  1948          71     0.07831  0.07536  0.50   35129    2647   33805   272263   7.75
  1948          72     0.08574  0.08222  0.50   32481    2671   31146   238458   7.34
  1948          73     0.09110  0.08713  0.50   29811    2597   28512   207311   6.95
  1948          74     0.09444  0.09018  0.50   27213    2454   25986   178799   6.57
  1948          75     0.09811  0.09352  0.50   24759    2316   23602   152813   6.17
  1948          76     0.10880  0.10319  0.50   22444    2316   21286   129211   5.76
  1948          77     0.12464  0.11733  0.50   20128    2362   18947   107925   5.36
  1948          78     0.14158  0.13222  0.50   17766    2349   16592    88978   5.01
  1948          79     0.15713  0.14568  0.50   15417    2246   14294    72387   4.70
  1948          80     0.17023  0.15688  0.50   13171    2066   12138    58093   4.41
  1948          81     0.18395  0.16846  0.50   11105    1871   10170    45955   4.14
  1948          82     0.20107  0.18270  0.50    9234    1687    8391    35785   3.88
  1948          83     0.21972  0.19797  0.50    7547    1494    6800    27394   3.63
  1948          84     0.23939  0.21380  0.50    6053    1294    5406    20594   3.40
  1948          85     0.26021  0.23025  0.50    4759    1096    4211    15188   3.19
  1948          86     0.28215  0.24726  0.50    3663     906    3210    10977   3.00
  1948          87     0.30516  0.26476  0.50    2757     730    2392     7767   2.82
  1948          88     0.32919  0.28266  0.50    2027     573    1741     5375   2.65
  1948          89     0.35415  0.30087  0.50    1454     438    1236     3634   2.50
  1948          90     0.37993  0.31928  0.50    1017     325     854     2399   2.36
  1948          91     0.40641  0.33777  0.50     692     234     575     1544   2.23
  1948          92     0.43345  0.35624  0.50     458     163     377      969   2.11
  1948          93     0.46088  0.37457  0.50     295     111     240      592   2.01
  1948          94     0.48856  0.39264  0.50     185      72     148      352   1.91
  1948          95     0.51630  0.41037  0.50     112      46      89      204   1.82
  1948          96     0.54395  0.42764  0.50      66      28      52      115   1.74
  1948          97     0.57132  0.44438  0.50      38      17      29       63   1.67
  1948          98     0.59827  0.46051  0.50      21      10      16       34   1.60
  1948          99     0.62464  0.47598  0.50      11       5       9       17   1.54
  1948         100     0.65028  0.49073  0.50       6       3       4        9   1.49
  1948         101     0.67509  0.50472  0.50       3       2       2        4   1.44
  1948         102     0.69895  0.51794  0.50       1       1       1        2   1.39
  1948         103     0.72179  0.53038  0.50       1       0       1        1   1.35
  1948         104     0.74352  0.54202  0.50       0       0       0        0   1.32
  1948         105     0.76412  0.55288  0.50       0       0       0        0   1.29
  1948         106     0.78354  0.56298  0.50       0       0       0        0   1.26
  1948         107     0.80175  0.57232  0.50       0       0       0        0   1.23
  1948         108     0.81873  0.58092  0.50       0       0       0        0   1.21
  1948         109     0.83458  0.58886  0.50       0       0       0        0   1.18
  1948         110+    0.85794  1.00000  1.17       0       0       0        0   1.17
  1949           0     0.05784  0.05530  0.21  100000    5530   95604  5806874  58.07
  1949           1     0.01188  0.01181  0.50   94470    1116   93912  5711270  60.46
  1949           2     0.00935  0.00931  0.50   93354     869   92920  5617358  60.17
  1949           3     0.00706  0.00703  0.50   92486     651   92160  5524438  59.73
  1949           4     0.00513  0.00512  0.50   91835     470   91600  5432278  59.15
  1949           5     0.00363  0.00362  0.50   91365     331   91200  5340678  58.45
  1949           6     0.00254  0.00254  0.50   91034     231   90918  5249478  57.66
  1949           7     0.00182  0.00182  0.50   90803     165   90720  5158559  56.81
  1949           8     0.00136  0.00136  0.50   90638     124   90576  5067839  55.91
  1949           9     0.00110  0.00110  0.50   90514     100   90464  4977263  54.99
  1949          10     0.00097  0.00097  0.50   90414      88   90370  4886799  54.05
  1949          11     0.00094  0.00094  0.50   90327      85   90284  4796429  53.10
  1949          12     0.00099  0.00099  0.50   90242      89   90198  4706144  52.15
  1949          13     0.00111  0.00111  0.50   90153     100   90103  4615947  51.20
  1949          14     0.00131  0.00131  0.50   90053     118   89994  4525844  50.26
  1949          15     0.00160  0.00160  0.50   89935     144   89863  4435850  49.32
  1949          16     0.00199  0.00199  0.50   89791     179   89702  4345987  48.40
  1949          17     0.00250  0.00249  0.50   89612     224   89500  4256285  47.50
  1949          18     0.00310  0.00309  0.50   89389     277   89250  4166785  46.61
  1949          19     0.00375  0.00374  0.50   89112     334   88945  4077534  45.76
  1949          20     0.00437  0.00436  0.50   88778     387   88585  3988589  44.93
  1949          21     0.00492  0.00491  0.50   88391     434   88174  3900004  44.12
  1949          22     0.00540  0.00538  0.50   87957     473   87721  3811830  43.34
  1949          23     0.00580  0.00578  0.50   87484     506   87231  3724109  42.57
  1949          24     0.00612  0.00610  0.50   86978     531   86713  3636878  41.81
  1949          25     0.00633  0.00631  0.50   86448     545   86175  3550165  41.07
  1949          26     0.00644  0.00642  0.50   85903     551   85627  3463990  40.32
  1949          27     0.00647  0.00645  0.50   85351     550   85076  3378363  39.58
  1949          28     0.00641  0.00639  0.50   84801     542   84530  3293287  38.84
  1949          29     0.00623  0.00621  0.50   84259     524   83998  3208756  38.08
  1949          30     0.00596  0.00594  0.50   83736     498   83487  3124759  37.32
  1949          31     0.00567  0.00565  0.50   83238     471   83003  3041272  36.54
  1949          32     0.00545  0.00544  0.50   82768     450   82543  2958269  35.74
  1949          33     0.00536  0.00534  0.50   82318     440   82098  2875726  34.93
  1949          34     0.00539  0.00538  0.50   81878     440   81658  2793628  34.12
  1949          35     0.00550  0.00548  0.50   81438     446   81214  2711971  33.30
  1949          36     0.00561  0.00559  0.50   80991     453   80765  2630756  32.48
  1949          37     0.00569  0.00567  0.50   80538     457   80310  2549991  31.66
  1949          38     0.00577  0.00575  0.50   80081     461   79851  2469681  30.84
  1949          39     0.00587  0.00585  0.50   79621     466   79388  2389830  30.02
  1949          40     0.00598  0.00597  0.50   79155     472   78919  2310443  29.19
  1949          41     0.00612  0.00611  0.50   78683     480   78442  2231524  28.36
  1949          42     0.00634  0.00632  0.50   78202     494   77955  2153081  27.53
  1949          43     0.00661  0.00658  0.50   77708     512   77452  2075126  26.70
  1949          44     0.00690  0.00687  0.50   77196     530   76931  1997674  25.88
  1949          45     0.00725  0.00722  0.50   76666     554   76389  1920743  25.05
  1949          46     0.00773  0.00770  0.50   76112     586   75819  1844354  24.23
  1949          47     0.00835  0.00832  0.50   75526     628   75212  1768535  23.42
  1949          48     0.00908  0.00904  0.50   74898     677   74559  1693323  22.61
  1949          49     0.00986  0.00981  0.50   74221     728   73856  1618764  21.81
  1949          50     0.01071  0.01066  0.50   73492     783   73101  1544908  21.02
  1949          51     0.01167  0.01160  0.50   72709     844   72287  1471807  20.24
  1949          52     0.01273  0.01265  0.50   71865     909   71411  1399520  19.47
  1949          53     0.01388  0.01378  0.50   70956     978   70467  1328109  18.72
  1949          54     0.01513  0.01502  0.50   69978    1051   69453  1257642  17.97
  1949          55     0.01645  0.01631  0.50   68927    1124   68365  1188189  17.24
  1949          56     0.01781  0.01765  0.50   67803    1197   67205  1119824  16.52
  1949          57     0.01933  0.01914  0.50   66606    1275   65969  1052619  15.80
  1949          58     0.02111  0.02089  0.50   65331    1365   64649   986650  15.10
  1949          59     0.02323  0.02297  0.50   63966    1469   63232   922002  14.41
  1949          60     0.02584  0.02551  0.50   62497    1594   61700   858770  13.74
  1949          61     0.02905  0.02863  0.50   60903    1744   60031   797070  13.09
  1949          62     0.03271  0.03219  0.50   59159    1904   58207   737038  12.46
  1949          63     0.03667  0.03601  0.50   57255    2062   56224   678831  11.86
  1949          64     0.04087  0.04005  0.50   55194    2210   54088   622607  11.28
  1949          65     0.04528  0.04428  0.50   52983    2346   51810   568518  10.73
  1949          66     0.04984  0.04863  0.50   50637    2463   49406   516708  10.20
  1949          67     0.05459  0.05314  0.50   48175    2560   46895   467302   9.70
  1949          68     0.05957  0.05784  0.50   45615    2639   44296   420407   9.22
  1949          69     0.06479  0.06276  0.50   42976    2697   41628   376112   8.75
  1949          70     0.07035  0.06796  0.50   40279    2737   38910   334484   8.30
  1949          71     0.07649  0.07367  0.50   37542    2766   36159   295574   7.87
  1949          72     0.08295  0.07965  0.50   34776    2770   33391   259415   7.46
  1949          73     0.08944  0.08561  0.50   32006    2740   30636   226023   7.06
  1949          74     0.09612  0.09171  0.50   29266    2684   27924   195387   6.68
  1949          75     0.10332  0.09825  0.50   26582    2612   25276   167463   6.30
  1949          76     0.11168  0.10577  0.50   23971    2535   22703   142187   5.93
  1949          77     0.12186  0.11486  0.50   21435    2462   20204   119484   5.57
  1949          78     0.13431  0.12586  0.50   18973    2388   17779    99280   5.23
  1949          79     0.14851  0.13825  0.50   16585    2293   15439    81500   4.91
  1949          80     0.16373  0.15134  0.50   14292    2163   13211    66062   4.62
  1949          81     0.17923  0.16449  0.50   12129    1995   11132    52851   4.36
  1949          82     0.19448  0.17724  0.50   10134    1796    9236    41719   4.12
  1949          83     0.20967  0.18977  0.50    8338    1582    7547    32483   3.90
  1949          84     0.22504  0.20228  0.50    6756    1367    6072    24936   3.69
  1949          85     0.24080  0.21493  0.50    5389    1158    4810    18864   3.50
  1949          86     0.25711  0.22782  0.50    4231     964    3749    14054   3.32
  1949          87     0.27407  0.24104  0.50    3267     787    2873    10305   3.15
  1949          88     0.29173  0.25459  0.50    2480     631    2164     7431   3.00
  1949          89     0.31008  0.26846  0.50    1848     496    1600     5267   2.85
  1949          90     0.32910  0.28260  0.50    1352     382    1161     3667   2.71
  1949          91     0.34873  0.29695  0.50     970     288     826     2506   2.58
  1949          92     0.36891  0.31146  0.50     682     212     576     1680   2.46
  1949          93     0.38957  0.32606  0.50     470     153     393     1105   2.35
  1949          94     0.41064  0.34069  0.50     316     108     263      712   2.25
  1949          95     0.43205  0.35530  0.50     209      74     172      449   2.15
  1949          96     0.45371  0.36982  0.50     135      50     110      277   2.06
  1949          97     0.47555  0.38420  0.50      85      33      68      168   1.98
  1949          98     0.49748  0.39838  0.50      52      21      42       99   1.90
  1949          99     0.51941  0.41233  0.50      31      13      25       58   1.83
  1949         100     0.54127  0.42598  0.50      18       8      15       33   1.77
  1949         101     0.56295  0.43930  0.50      11       5       8       18   1.70
  1949         102     0.58437  0.45224  0.50       6       3       5       10   1.65
  1949         103     0.60546  0.46476  0.50       3       2       2        5   1.60
  1949         104     0.62612  0.47684  0.50       2       1       1        3   1.55
  1949         105     0.64631  0.48846  0.50       1       0       1        1   1.50
  1949         106     0.66600  0.49962  0.50       0       0       0        1   1.46
  1949         107     0.68520  0.51035  0.50       0       0       0        0   1.43
  1949         108     0.70399  0.52070  0.50       0       0       0        0   1.39
  1949         109     0.72248  0.53075  0.50       0       0       0        0   1.36
  1949         110+    0.75229  1.00000  1.33       0       0       0        0   1.33
  1950           0     0.05080  0.04881  0.20  100000    4881   96077  5978061  59.78
  1950           1     0.00923  0.00918  0.50   95119     874   94682  5881984  61.84
  1950           2     0.00712  0.00709  0.50   94246     669   93911  5787302  61.41
  1950           3     0.00524  0.00522  0.50   93577     489   93333  5693391  60.84
  1950           4     0.00370  0.00370  0.50   93088     344   92916  5600058  60.16
  1950           5     0.00259  0.00259  0.50   92744     240   92624  5507142  59.38
  1950           6     0.00190  0.00189  0.50   92504     175   92417  5414518  58.53
  1950           7     0.00156  0.00156  0.50   92329     144   92257  5322101  57.64
  1950           8     0.00140  0.00140  0.50   92185     129   92121  5229844  56.73
  1950           9     0.00130  0.00130  0.50   92056     120   91996  5137724  55.81
  1950          10     0.00121  0.00121  0.50   91936     111   91881  5045728  54.88
  1950          11     0.00112  0.00112  0.50   91825     103   91774  4953847  53.95
  1950          12     0.00106  0.00106  0.50   91722      97   91674  4862073  53.01
  1950          13     0.00103  0.00103  0.50   91625      94   91578  4770399  52.06
  1950          14     0.00110  0.00110  0.50   91531     100   91481  4678820  51.12
  1950          15     0.00132  0.00132  0.50   91431     121   91371  4587339  50.17
  1950          16     0.00170  0.00169  0.50   91310     155   91233  4495969  49.24
  1950          17     0.00217  0.00217  0.50   91155     197   91057  4404736  48.32
  1950          18     0.00268  0.00268  0.50   90958     244   90836  4313679  47.42
  1950          19     0.00318  0.00318  0.50   90714     288   90570  4222843  46.55
  1950          20     0.00361  0.00361  0.50   90426     326   90263  4132272  45.70
  1950          21     0.00400  0.00399  0.50   90100     359   89920  4042009  44.86
  1950          22     0.00435  0.00434  0.50   89741     390   89546  3952089  44.04
  1950          23     0.00469  0.00468  0.50   89351     418   89142  3862543  43.23
  1950          24     0.00501  0.00499  0.50   88933     444   88711  3773401  42.43
  1950          25     0.00519  0.00517  0.50   88489     458   88260  3684691  41.64
  1950          26     0.00521  0.00520  0.50   88031     457   87802  3596431  40.85
  1950          27     0.00510  0.00509  0.50   87573     446   87351  3508629  40.07
  1950          28     0.00495  0.00493  0.50   87128     430   86913  3421279  39.27
  1950          29     0.00483  0.00482  0.50   86698     418   86489  3334366  38.46
  1950          30     0.00480  0.00479  0.50   86280     413   86073  3247877  37.64
  1950          31     0.00482  0.00481  0.50   85867     413   85660  3161803  36.82
  1950          32     0.00490  0.00488  0.50   85454     417   85245  3076143  36.00
  1950          33     0.00497  0.00496  0.50   85036     422   84825  2990898  35.17
  1950          34     0.00502  0.00501  0.50   84615     424   84403  2906072  34.34
  1950          35     0.00506  0.00505  0.50   84191     425   83978  2821670  33.52
  1950          36     0.00511  0.00510  0.50   83766     427   83552  2737691  32.68
  1950          37     0.00515  0.00514  0.50   83339     428   83125  2654139  31.85
  1950          38     0.00523  0.00521  0.50   82910     432   82694  2571014  31.01
  1950          39     0.00537  0.00536  0.50   82478     442   82257  2488320  30.17
  1950          40     0.00555  0.00553  0.50   82036     454   81809  2406063  29.33
  1950          41     0.00570  0.00568  0.50   81582     464   81350  2324254  28.49
  1950          42     0.00585  0.00583  0.50   81118     473   80882  2242903  27.65
  1950          43     0.00607  0.00605  0.50   80645     488   80401  2162022  26.81
  1950          44     0.00642  0.00640  0.50   80157     513   79901  2081620  25.97
  1950          45     0.00689  0.00687  0.50   79644     547   79370  2001720  25.13
  1950          46     0.00746  0.00743  0.50   79097     588   78803  1922349  24.30
  1950          47     0.00805  0.00801  0.50   78509     629   78195  1843546  23.48
  1950          48     0.00866  0.00862  0.50   77880     672   77544  1765352  22.67
  1950          49     0.00933  0.00929  0.50   77209     717   76850  1687807  21.86
  1950          50     0.01013  0.01008  0.50   76491     771   76106  1610957  21.06
  1950          51     0.01109  0.01103  0.50   75721     835   75303  1534851  20.27
  1950          52     0.01216  0.01209  0.50   74885     905   74433  1459549  19.49
  1950          53     0.01325  0.01316  0.50   73980     974   73493  1385116  18.72
  1950          54     0.01439  0.01428  0.50   73006    1043   72485  1311623  17.97
  1950          55     0.01566  0.01554  0.50   71963    1118   71404  1239138  17.22
  1950          56     0.01718  0.01703  0.50   70845    1207   70242  1167734  16.48
  1950          57     0.01913  0.01895  0.50   69638    1320   68978  1097493  15.76
  1950          58     0.02157  0.02134  0.50   68319    1458   67590  1028514  15.05
